"","x"
"1",0.0980494876562869
"2",0.100215831957786
"3",0.0979861792590314
"4",0.09838348489795
"5",0.0995670425787861
"6",0.103435641474708
"7",0.102745938811019
"8",0.103996449483467
"9",0.103282393054372
"10",0.100873843231577
"11",0.104083120310311
"12",0.102549036914375
"13",0.10169634260117
"14",0.103943261963458
"15",0.101630679509902
"16",0.102042762544078
"17",0.103270341497071
"18",0.107282829151114
"19",0.106567473670367
"20",0.107864495866113
"21",0.107123880805436
"22",0.104625747324009
"23",0.107954390329724
"24",0.106363248199958
"25",0.105478838754457
"26",0.107809330088236
"27",0.105410733388631
"28",0.105838143448851
"29",0.10711138100223
"30",0.111273109216241
"31",0.110531146786955
"32",0.111876410456688
"33",0.111108248942064
"34",0.108517199825303
"35",0.111969648457089
"36",0.110319325349607
"37",0.109402021158436
"38",0.111819192841574
"39",0.109331382680035
"40",0.109774689840065
"41",0.111095284220884
"42",0.115411803851754
"43",0.114642244854461
"44",0.116037544292696
"45",0.11524081176067
"46",0.112553391102254
"47",0.116134250189471
"48",0.114422544925601
"49",0.113471122500816
"50",0.115978198524263
"51",0.113397856693192
"52",0.113857652230135
"53",0.115227364829346
"54",0.119704433192665
"55",0.118906251199967
"56",0.120353447438252
"57",0.119527081217733
"58",0.116739704572281
"59",0.120453750216422
"60",0.118678379746797
"61",0.117691570094017
"62",0.120291894361915
"63",0.117615579236225
"64",0.11809247641916
"65",0.119513134140929
"66",0.12415672269002
"67",0.123328853097554
"68",0.124829876386689
"69",0.12397277428157
"70",0.121081723883754
"71",0.124933909828744
"72",0.123092506188208
"73",0.122068993114044
"74",0.124766033903786
"75",0.121990175850503
"76",0.122484810758453
"77",0.123958308456865
"78",0.128774610747425
"79",0.127915949353909
"80",0.129472801738485
"81",0.128583820557554
"82",0.125585240363395
"83",0.129580704602825
"84",0.12767081175207
"85",0.126609230108606
"86",0.129406584696775
"87",0.126527481313916
"88",0.127040513684239
"89",0.128568816690626
"90",0.133564256641608
"91",0.132673658176071
"92",0.134288416164774
"93",0.133366370196938
"94",0.130256260740668
"95",0.134400332370783
"96",0.132419402920516
"97",0.131318336784492
"98",0.134219736244861
"99",0.131233547423214
"100",0.131765661531559
"101",0.133350808275831
"102",0.138532048737582
"103",0.137608325331817
"104",0.139283142667047
"105",0.138326802099844
"106",0.13510101515947
"107",0.139399221487048
"108",0.13734461330032
"109",0.136202594084594
"110",0.139211908264581
